Name
1: અક્ષર
2: સુહૃદ
3: સ્વધર્મ યુક્ત
4: કરુણાનિધિ
5: સરળ
6: ગુરુ ભક્ત
7: પરાભક્તિ
8: પ્રભુ ભક્તિ
9: સર્વદેશિયતા
10: આત્મીય પ્રધાન
11: ખાનદાન
12: સંબંધોગ
13: કુદરતી સહજતા
14: કૃપાસિંધુ
15: દયાળુ
16: આત્મલક્ષી
17: નિરપેક્ષતા
18: દાસત્વપ્રધાન
19: નિર્માની
20: નિર્ભયતા
21: આત્મજ્ઞાની
22: નિર્દંભ
23: નીર્લેપ
24: નિર્દોષ બુધ્ધિ
25: વ્યવસ્થાપક
26: સમય સૂચકતા
27: પ્રેમાળ
28: સાક્ષાત
29: કરકસર
30: બસ એક તું
31: સર્વોપરી
32: નિ:સ્વાદી
33: ગરજુ
34: નિસ્વાર્થ
35: ગુણાતીત
36: કલ્યાણકારી
37: હિતકારી
38: મંગલકારી
39: સ્વાધ્યાયી
40: પ્રેરક
41: પ્રવર્તક
42: નિષ્કામી
43: નિષ્ક્રોધી
44: એકાંતિક
45: કર્તાહર્તા
46: સર્વ દૃષ્ટા
47: સર્વ નિયંતા
48: બુધ્ધિ શાળી
49: સમર્થ
50: ભુલકું
51: સેવાભાવી
52: સહજ સ્વીકાર
53: કરુણાકારી
54: દિવ્યતા
55: સર્વોત્તમ સાધક
56: નિર્મોહી
57: મહિમા પ્રધાન
58: ચૈતન્ય શિલ્પી
59: કુશળ કાર્યકર્તા
60: દેશભક્ત
61: સ્વીકાર
62: ભજનિક
63: વિનમ્ર
64: એકાગ્રતા
65: આજ્ઞાકારી
66: ભક્તવત્સલ
67: જાગ્રત
68: નિર્વિકલ્પ
69: રક્ષણહાર
70: સતચિત્તાનંદ
71: તારણહાર
72: તિતિક્ષા
73: ગુણ ગ્રાહક
74: સ્થિતપ્રજ્ઞ
75: કૃપાનીધી
76: દેહભાવથી પર
77: અજાત શત્રુ
78: ઉદારતા
79: સર્વપ્રિય
80: સર્વ શ્રેષ્ઠ
81: ક્ષમા શીલ
82: ધૈર્યવાન
83: દાસ ના દાસ
84: માયાથી પર
85: શાશ્વત
86: સુલભ
87: સહજ
88: શીતળ
89: સજાગ
90: સતેજ
91: સર્જક
92: સુકાની
93: ઊંડાણ
94: સાધક
95: સૌમ્ય
96: સંપૂર્ણ
97: સંયમી
98: સાકાર
99: સારથિ
100: જતન
